ResponseId,ClimateLong,Post,Climate_headline,Climate_fraction_ai,Climate_fraction_ai_assisted,Climate_fraction_human,Post_headline,Post_fraction_ai,Post_fraction_ai_assisted,Post_fraction_human
R_970Rj2ipDxVKw6g,global warming,hey everyone! I would like to share with you the importance of the climate change so we can get more aware. Please follow for more information,Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_8zoxqn9eTes1cmg,"drastic weather leading to heavy rain-related disasters, inefficient agriculture, fires,...
disruption of ecosystems",.,Fully Human Written,0.0,0.0,1.0,AI Detected,0.0,0.0,0.0
R_8YgiWOVbD7PO8EW,"extreme weather conditions and occurences, ecosystems dying out due to rapid changes in climate, north atlantic current subsiding","Whilst climate change may very well be the greatest threat to humanity, you cannot do anything about it. There is no amount of recycling or buying greenwashed products you can do as an individual to make any kind of difference. 
The only thing we can do is stand together - stand together against the seemingly unreachable corporations at the very top and try to get in their way of destroying our planet.
Be loud, protest and boycott.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_8rSjpAcfakPimHE,"Heat, Climate Catastophes,","We have the power to make a difference in the fight against climate change.
Choose public transport, bike, or walk.
Eat local, seasonal, and more plant-based food.
Reduce waste, recycle properly, and shop second-hand. Save energy.
And most importantly: Speak up! Letâs make the world greener together!",Fully Human Written,0.0,0.0,1.0,Fully AI Generated,1.0,0.0,0.0
R_8Wu2Xanz8PFIzrH,"Access to natural resources could get more difficult which would lead to price spikes and/or privatisation of those sectors, which would lead to a lower productivity in agriculture and ultimately it would lead to malnutrition for the poor who wonât be able to afford everything needed to stay healthy.",Use more public transport instead of a car.,Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_2pn7fvZ72cOCzLn,not enough energy,"As a part of well educated group, let's protect our environment and contribute even a little to the climate change",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_8YSTnyCzun2ea6B,"Europe: More extreme climate (more/worse droughts, floods etc.)
World: More inhabitable land due to global warming and also more extreme climates in certain parts of the world.","I do not know the topic of this anymore precisely. I thought I can change back but I cannot. 

I am going to write about the topic ""what we can do to combat climate change as students""

We as people can make better more concious decisions to minimize the negative impact our life has to our surroundings. This can mean commuting by train instead of car, even though it is a small change, this can lead to big changes down the line, sort of butterfly-effect-style. As long as we all strive to contribute positively, we will manage any problem.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_2DVMDAjDIfOXXnH,Extreme Seasons like very hoy summers and very cold and snowy winters,"Not to be extremely pessimistic, but I think everything I and other students in Zurich can do to combat climate change is just a drop in the ocean. We might consider actions like recycling, using public transport, not flying or useling resources consciously in general. Some may even feel the urge to become politically active. However, the impact this has on global climate change is infinitesimal, since the contributions of a country like ours does not remotely compare to countries like the United States of America or China. These are global players in a game, where we little people simply can not fathom to participate, let alone influence its outcome.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_8wgGnzILBsBhUep,"Most Humans may not able to live with rising sea level, glaciers are disappearing, winter be colder and summer be hotter. For Europe, that wonât be a big problem, cause the latitude is high enough and that wonât be so warm.","As a normal person, I am pessimistic that we could do anything to stop the climate change. From history, climate change is a trend, as human we could accelerate or slow down it, but we canât stop it. But as student in ZÃ¼rich, I do think that we could do our best in researching how to save ourselves from this changing earth. For us in Europe, we are lucky, but for those people in global south, it would be a problem for now and for in the near future. Most of us are just normal, we care this problem cause we want to save ourselves, but those rich people actually just donât care, but thatâs also what we couldnât do",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_8weRrvPVZbWioYV,Agriculture will be highly affected by climate change.,"Climate change is a major issue for our generation. The effects are not so evident right now, but they will impact our future. Everyone should contribute to making our world a better place. Even simple everyday actions can have a huge impact, so there are no excuses!
Carefully consider the effect of your decisions and act wisely!",Fully Human Written,0.0,0.0,1.0,Fully AI Generated,1.0,0.0,0.0
R_2Cr3sIRCIvksWpr,"The weather may be too extreme that makes earth not habitable for humans, humans are facing the living crisis.","Enjoy your life while you can. Have critical thinking skills. Donât always follow the âflowâ, theyâre not always right.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_23UXiYfPFFbQC44,It gets warmer/hotter; some land will disappear,"I think climate change issue is as important as other issues like human rights, wars & peace, unemployment issue... As individuals we could anything that help to improve these problems.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_8JhdKIAt5DN42AE,"I think its the overall rising of temperature which messes up all the ecosystems and also the weather. Weather events are getting a lot more ""violent"" causing more damage and harm which isn't a very good thing for overall well being of humans","climate change is impacting everyone on earth. From people losing their homes due to rising sea levels or to natural disasters, you can't look away anymore. It's time for everyone to do their part and stop this thing.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_3hfGURrSZjYezJu,"Europe: Extreme weather situation in the mountains/alps as well as migration.
World: Especially in already warmer areas the increasing temperature could be a problem, resource shortage and also more extreme weather situations (e.g. longer and more intensive hurricanes)","To most effectively battle climate change in their daily lives, the students should primarily focus on their studies while being aware of the problem. The impact they can have after their education is way more meaningful than some smaller changes now. They should now work on getting themselves in a position to have a big impact in the near future.",Fully Human Written,0.0,0.0,1.0,Fully AI Generated,1.0,0.0,0.0
R_2zcs45if8VmZWi7,"Collapse of global biogeochemical cycles, i.e. the Golf stream, oceanic carbon sink, etc...
Increase in temperature leading to lower quality of life, higher reliance on AC, higher instances of heat strokes.
Rising instability of our climate leading to more catastrophic weather events. In combonation with the rising ocean leve;s this will cause displacement and migratory moves we might not be prepared to handle..","When thinking about climate change, it's easy to fall into the trap of thinking we are powerless. And I get it. How is my choice to bike to work going to offset the thousands of airplanes currently flying in our skies? Well, it won't. But that's also not what we as students, but primarily as consumers should be worrying about. Our goal should be to identify where we can make a difference. One easy way to do so is to reduce your meat intake. The food industry accounts for 25-35% of global carbon emissions, with more than half of that figure coming from the meat industry. Switching that one steak for a planted steak, that lasagna for a parmigiana, pork cuttings for tofu... goes a long way. And it's not about you saving the couple kg of CO2, but rather about sending a consumer message and influencing the market. That's how one takes personal control, by recognizing their role in the system and utilizing it.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_24x75ohO2bEsrWB,"Flooding, displacement, natural disasters",I think the most effective thing we can all do to address climate change is to either engage in political activism or to take on important roles in culture or industry that allow us to impact policy and/or industrial practice,Fully AI Generated,1.0,0.0,0.0,Fully AI Generated,1.0,0.0,0.0
R_8JEjqrk595ZBNND,major temperature changes affecting plants and animals; water levels changing and affecting the access to drinkable water,"Fighting climate change step by step is essential and should be on everyone's to-do list. Some steps we take on an everyday basis can be as simple as recycling or checking the product label and opting for more environmentally friendly options. Others include choosing a more sustainable lifestyle that is tailored to less consumerism, resulting in less food waste and discouraging the fast fashion and similar industries. Finally, being informed and responsible when it comes to the choice of transportation and its usage might make a big impact overall. The most important part is that everyone should take part and try to do their best!",Fully Human Written,0.0,0.0,1.0,Fully AI Generated,1.0,0.0,0.0
R_2Bg6MEzKzlHsNbP,"Migration, weather phenomenons, food crisis","Climate change is constantly affecting and changing our weather and bringing some heavy and catastrophic phenomenons with it. As being student in civil engineering and confronted by calculating and estimating precipitation rates, I learned that the traditional rates are no longer valid and noticed that they are large exceeded frequently. 
Additionally, I self experienced a phenomenon in my home country Luxembourg, where some years ago a tornado hit several villages. Back then the imagination of a tornado in Luxembourg was unthinkable to me.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_8NxQxDs8AlJ9TLd,"My concern is that certain parts of the world will not habitable anymore (due to heat, extreme weather conditions,...), leading to the destruction of many people's livelihoods and forcing them of to migrate to more moderate parts of the world, seeking protection. 
Unfortunately, I do not think that the more moderate parts of the world (that will not be as affected by climate change) will welcome these people. I mean migration already seems to be an issue for many, and climate migration will happen on a much larger scale.","I do not think that climate change can be combated by changing individual lifestyles. We can make a minor impact, yes, but it is a global issue that needs to be addressed on a much larger scale and involve the governmental level, too.
I think the most valuable thing a single person can do is to raise awareness for climate change and all of its consequences. Yes, adapting your individual lifestyle, e.g. veganism, sustainability,... , might increase your credibility. But in the end, it is an issue that can only be addressed if people understand its complexity and seriousness and, thus, vote for parties that will take this problem to a governmental level and tackle it with the seriousness that it requires.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_8rl7JQ4EgZSev5W,"higher water level of oceans and disappering certain regions on coasts and islands, lower biodiversity both inside and outiside the water. I don't feel like in Europe, or at least in switzerland, we fear these changes enough, we don't feel like they have significant consequences on our routine","Today the world fights a lot of battles, it's difficult to keep track of all these conflicts and tragedies. But our privilege comes with responsability. For every battle it's possible donate and that usually the most impactful thing we can do. For the battle against climate change though, every one of us has the opportunity and the responsability of contrubuting with their every day choices, like what they eat, what they buy, how to move from one place to another. Every choice counts, let's work together for each other.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_2gItncY6aWTEnpf,"Catastrophic events like floods etc. (especially in developing regions)
Heating to the point of no return
Irreversible changes to the ecosystem","The consequences of climate change are not distant dystopic possibilities, they are realities that the world is facing already today.
Living in Zurich, the consequences pass us by in the form of news headlines or the unfulfilled hope of a white Christmas. However, other parts of the world are already enduring the harshest consequences of the changing climate. Floods, unbearably hot summers, irregular monsoons - this is happening today, and it is disrupting the daily lives and economic development of many communities who are least responsible for causing the change.
Let us not close our eyes to this injustice. Let us do our best to combat climate change. If you have the privilege of being able to donate to this cause, please consider doing so. Take some time to learn more about climate change and to share it with your friends and family. Let us make sure that corporations and communities all take on the responsibility of saving our climate. Because in the end, the earth will keep on turning even in the hot house scenario - but if we want to keep our planet inhabitable for our future generations, we must take action now.",Fully AI Generated,1.0,0.0,0.0,Fully Human Written,0.0,0.0,1.0
R_8mV4Ubqzraxml6R,"loss of biodiversity, extreme weather events","One of the most serious consequences are the increasing, non predictable extreme weather conditions. Like devastating floods in Germany and Italy or the wildfires in L.A. and Greece. Other than that the climate change will be robbing us the possibility to ski in the mountains, as we see the snow level is decreasing from year to year and wont stop if we dont change anything. Therefore our kids most likely wont be able to experience this wonderful sports.",Fully AI Generated,1.0,0.0,0.0,Fully Human Written,0.0,0.0,1.0
R_2qe6ClKdTFBQzcg,"Extreme weather conditions, pandemic","In order not to suffer from extreme weather conditions, everyone has a responsibility to contribute to climate protection. By changing small habits, it can have a big impact, if everyone does their share of work.",Fully AI Generated,1.0,0.0,0.0,Fully AI Generated,1.0,0.0,0.0
R_2oipxwpjF8C5wzw,"Extreme weather including floods, extreme snowfalls, drought (destroying infrastructure, and causing accidents/injury/deaths) and subsequent effects on agriculture, biodiversity etc. Even if the most extreme consequences of climate change will not affect Europe first (poor countries will suffer most), it will affect us as well in the near future (already has with eg extreme rainfalls)","Climate change is a global issue, with its impact increasing continuously. Extreme weather including rainfalls, flooding, mudslides, extreme snows and winds and droughts will affect all of us, whether that be directly though destruction of our infrastructure, homes and injury/death to those close to us, or indirectly, for example though food shortages and decreasing biodiversity. This is not only an issue affecting poorer countries, even though that should be enough to warrant global action. This will affect all of us, and we will all suffer from the consequences if we do not act in time.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_2Ej7h4uKuDCEWRj,First and foremost the irreversible changes of our nature and fauna.,"Humans are very quick to adapt to changes. Thatâs in stark contrast to the abilities of our flora and fauna, which will suffer the most under climate change.
Itâs not only the changes of climate that worry me but simply the way many of our fellow citizens treat our planet - be it littering, loud noises or intentionally destruction for fun or profits.
Itâs very difficult to try and be positive about our planetâs future.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_2kn2kTIX49egWQt,"Natureâs power to disrupt our necesities( water, electricity..)",We should ride our bike and take the tram jnstead of the car,Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_811zWm73hYNn6n2,The most serious consequence of climate change is that we're making this planet inhabitable not just for human but also for the wildlife,"As students we might feel our options are limited because we might not have enough to donate. However, there are other ways of helping and contributing. We should recycle. Switzerland has amazing recycling facilities and I believe we should take advantage of that. Buy second hand or buy less. Reducing consumption is an effective way. Don't support fast fashion brands (or limit your support if you absolutely have to buy from them). Finally, educate yourself more and try to engage in conversations surrounding climate change.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_2CI723IJKeFYxhl,"destruction of species and making more of the land unusable, more extreme weather events",Climate change is the single most important issue as of right now. Disregarding it would mean the destruction of plant life and nature as we know it.,Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_5W8mmkYeSzr7JGp,"Increased temperatures, increasing sea levels, extreme weather events","Few ways to contribute:
- Use public transport or cycles
- Switch to plant-based meals
- Buy fewer fast-fashion items, use second-hand platforms instead
- Use energy-efficient appliances and reduce heating and electricity use
",Fully AI Generated,1.0,0.0,0.0,Fully AI Generated,1.0,0.0,0.0
R_8Oo8vbLrGZ7ERVy,The collapse of our ecosystem. There's already been so much loss of crops production especially in the south due to climate change and it's only going to get worse. It then becomes a situation where the poorer get more poor which will lead to migrations and often times this pushes to a more and more far right push which use these opportunities of weakness to control the masses.,"Our world is under threat, it's no longer the world we once knew. Due to a failure from the human race, failing to work together with our closest ally, nature, we are in a dire situation with the climate. Through charity and spreading awareness we can start chipping away at this gargantuan task but we need you to make the first step.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_8JEhqxOjoL9dT5E,"Loss in crops, change in natural occurrence of plants and animals which will effect the whole world and how we are able to produce and trade food","Students in Zurich may not have as much power as politicians have, however, they are still able to have an impact. By avoiding to use cars and instead using the public transport, CO2 emissions can be significantly lowered. Students may also reduce the amount of food waste they produce, which not only helps the planet but also their wallet. This can be easily achieved by strategically going food shopping and planning out meals.",Fully Human Written,0.0,0.0,1.0,Fully AI Generated,1.0,0.0,0.0
R_2amofCnwVbXNkVK,"Less snow, high temperatures, heat waves","Climate change has made winters shorter and less predictable, with warmer temperatures and less snow. I used to snowboard all season long as a kid and can't remember a time when there was not enough snow to go snowboarding in March. Now, the snow often arrives late or melts too soon, cutting the season short. It's a reminder how climate change impacts our world.",Fully Human Written,0.0,0.0,1.0,Fully AI Generated,1.0,0.0,0.0
R_3l4Zsitdyq0PqYA,Extreme weather events with floodings and droughts,"The role of students starts in the morning by using public transport to reach the campus but continues over the day by checking which devices can be turned off and especially at the end of the day checking that the lights are turned off. Furthermore, students can contribute to technological improvements and push the research for clean energy forward during their studies. Every contribution counts, what is important is that contributions are there.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_2GjWEP2hVa969PP,Extreme weather events,"As an individual it often feels hopeless to do something against climate change. However, doing nothing doesn't prevent climate change either. Therefore, it is important to reflect one's own actions, try to reduce personal greenhouse gas emissions (e.g. with a vegan/vegetarian diet, reduce unnecessary consumer behaviour, ...) and act accordingly on a political level by electing/voting for the climate and making politicians aware of their responsibility.",Fully AI Generated,1.0,0.0,0.0,Fully Human Written,0.0,0.0,1.0
R_8KpfaCxWh4IJUVH,"extreme weather: more heatwaves, droughts, floods, water scarcity","Climate change is a serious global issue that is affecting weather, food and our future. It's important to act, but we must also focus on other challenges like poverty, education, and peace. Balancing our efforts can create a better world for everyone.",Fully Human Written,0.0,0.0,1.0,Fully AI Generated,1.0,0.0,0.0
R_2foFApsgJ54qzs9,Extreme temperatures,"Climate change is a threat to our lives as we know them today. It is very clear that already in a couple of years we will be impacted directly by the effects of climate change. We can all do our part in trying to reduce our carbon footprint. But we have to be real and know that what we as individuals can do does not really dent the problem. We can give our best and in turn feel better about ourselves, but cooperations which contribute strongly to climate change and things like coal energy production need to be tackled and changed to really have a positive impact on climate change.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_3Cn0viwKk0o2Heh,Probably the rise of temperature,"I responded to the question of what's the biggest consequence of climate change with ""probably the rise in temperature"" before, because I remember that five years ago we didnât have air conditioning back home, but we could still survive the whole summer easily.

With the rise in temperature, we had to install an AC two years ago. I just hope that the temperature stops rising more, otherwise I cannot imagine how the summer would be.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_48G4VKP4DsKgAyB,"Drought, displacement of people, hunger, loss of biodiversity, extinction of corals, collapse of streams in oceans, etc.","In my opinion, the two main things people in Zurich can do to tackle climate change are first to preserve and maintain the nature & biodiversity we still have. Secondly, we should use our educational system to not only educate the next generation about climate change but also to actively do research to find possible solutions for the big problems climate change will bring worldwide. We might be a small city but we are excellent when it comes to research. Using our strengths could have a great impact on the world.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_2o0BXWwfVyadqfU,"It's getting hotter and hotter, so it destroys our climate, plants and animals","Unfortunately each individual itself can't make a big difference, but if we work as one, we can have a (small) impact. By just keeping in mind, that we only have one planet, be aware of climate-""killers"" and proper recycling we can be part of a better world. Go, vote and know your value.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_231Q4SEMg5LuVym,"more extreme weather conditions, rising ocean water level which can lead to flooding","To combat climate change as an individual in daily life it is important to be mindful of earth's resources. For example this means to throw away fewer items, in particular food. Another example is to choose environmentally healthy travel options such as walking or public transport instead of a car or an airplane.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_8PPexyQm4GdcMQ9,an increasing number of people are dying from climate change (e.g. high temperature during summer),"The earth does not only belong to humans, it is the home of all creatures. Take action now to save the earth before the karma is on us.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_2GJsRGweVtcoP8W,"migration pressure, extreme weather, health risks, ecosystem damage","Engaging against climate change is crucial to protect our planet's ecosystem, ensure food and water availability, and safeguard our health. Without actions, extreme weather, resource shortages and rising sea levels will increasingly threaten humans worldwide. Taking responsibility now helps to diminish the consequences and create a more livable future for us and future generations.",Fully AI Generated,1.0,0.0,0.0,Fully AI Generated,1.0,0.0,0.0
R_2JVfL9vyscgfumt,"Water shortage, abnormal temperatures, the season series is going to be seriously compromised causing serious damages and difficulties to the ecosystem","Understanding on one hand how people can be effectively motivated and on the other hand which are the topics that incentivate people, may help us developing preventive campaigns targeting and enhancing eco-friendly cognitions and behaviors.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_8DAX9NBwtb8ZJi6,Increase in global temperature; melting of the north and south pole ice formations;,"Climate change awareness needs to increase quickly. Otherwise, many problems will emerge, making them more complex and challenging to tackle. To do so, people need to be taught how to contribute their part in decreasing C02 and greenhouse gas emissions, so that the world can be preserved for future generations to come! :)",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_8gu0TnaMZnixY31,"The consequences of increasing nature disasters include a various of serious issues, such as finncial burden, humantarian crisis and migrations problems", s,Fully Human Written,0.0,0.0,1.0,Fully AI Generated,1.0,0.0,0.0
R_2Y2QqliciRwljkO,Diffuculties to produce enough food,"Thinking of climate change from a purely economic perspective: Still we need to stop this. Increasing extreme weather events will cost trillions of francs and limited food supply might cause conflicts, which affect worldwide production negatively.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_2To7wI2TzUM8iSO,"I think, that the way our ecosystems work at the moment, will change drastically when for example the see level rises or food chains don't work properly anymore when certain species are endangered","Our planet is heating up - and there is simply no time to wait anymore. 
If we don't take responsibility for our actions now, it might be too late.",Fully Human Written,0.0,0.0,1.0,Fully AI Generated,1.0,0.0,0.0
R_8cpVzJQZCvPJGim,"Europe: A lot of Refugees whoâd need housing and general life insurance. Not that itâs bad to take them in, but itâs also important to fight the source of a problem directly.

The world: Many places that become uninhabitable. Hunger. Refugees. Stronger Storms/ more extreme weather.","Climate Change is a global threat that we have to take seriously. Everybody can contribute to making the world a better place. However, we have to understand that the greatest power in changing the world still lies in the elite of the world, the ones who own the biggest companies, and the ones in politics. Awareness is important to make people understand that something has to be done about that.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_7aOAquXms2vF5E7,Changing environment -> adapting to it,"Let's fight for earth, it's the only one we have.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_8LuSnZSWrw7TRlb,"Nature, Resources and the Population","Climate change affects everyone and especially us and the next generations following. Because of that and out of respect we should at least do the small simple things in the daily life that still have an huge impact if everyone would stick to it. Those are basic things like the minimation of foodwaste, recycling waste the right way, taking the bicycle or public transport to work, thinking twice if the short trip flight over the weekend is necessary, be careful what you buy and what you consume and so on. You donât have to go to a demo every month, that wonât change nor rescue the planet but stick to the things that you can do and use the privilege of your knowledge and share it with the ones that donât have the chance for it.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_5dX4DKgBDviTbXm,Water shortage and that companies are buying sources of water to fuck us all.,"Changing the way of transportation in Zurich to public only and keep only the necessary ones like deliveries, police, ambulance etc. This reduces CO_2 output at least a little.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_87FIV6wO3QpfSP7,unknown natural catastrophes and loss of nature (biodiversity or glaciers),"There are opportunities in almost everything in our daily lifes to adabt and face climate change. A car in Zurich is unnecessary and using public transport or just cycle is by far the more sustainable alternative. In supermarkets, we can look for seasonal and local products, instead of others which lead to long transport distance and loss of quality. On vacation, rather travel by train instead of flying. Thus many emissions can be prevented. Already small things matter and if added up can make a big impact on fighting climate change.",Fully AI Generated,1.0,0.0,0.0,Fully Human Written,0.0,0.0,1.0
R_8MrqquHo8rXdpHP,"waterressources, high temperature or overall extreme weather condition",As UZH Student we could eat more plantbased food.,Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
